counterparty_name,classification,notional_usd_summed,matched_pattern
State Street Europe Limited,BILATERAL,509266721,
Credit Agricole,BILATERAL,504878024,
"MORGAN STANLEY CAPITAL GROUP, INC",BILATERAL,503222680,
BOA MERRILL LYNCH,BILATERAL,501742605,
CONVERSION DEFAULT BROKER,BILATERAL,500000000,
The Bank of New York Mellon S.A./N.V.,BILATERAL,498115458,
Marlin Equity Partners,BILATERAL,492364995,
ASX 24,BILATERAL,488079868,
Mercado Mexicano De Derivados,BILATERAL,483185820,
Banco Santander,BILATERAL,481309300,
HSBC PRIVATE BANK INTERNATIONAL,BILATERAL,478151512,
KDPW-National Depository For Securities,BILATERAL,476159808,
Goldman Sachs Bank Europe SE,BILATERAL,467247612,
ANZ Banking Group,BILATERAL,464084346,
HSBC HOLDINGS PLC,BILATERAL,463542186,
Mizuho Capital Markets LLC,BILATERAL,450231605,
MEFF RENTA VARIABLE,BILATERAL,447920651,
NATIONAL AUSTRALIA BANK LTD,BILATERAL,444338841,
BNP CAPITAL MARKETS LTD.,BILATERAL,442972058,
"Societe Generale Bannon, LLC",BILATERAL,442758744,
Credit Suisse Securities (Europe) Limited,BILATERAL,441389335,
Standard Chartered Securities (India) Ltd.,BILATERAL,437289218,
Credit Suisse Securities Ltd.,BILATERAL,434488700,
RBC CAPITAL MARKETS LLC,BILATERAL,396435173,
"State Street Brokerage Services, Inc.",BILATERAL,380391227,
NOMURA SECURITIES INTL INC,BILATERAL,378573758,
"CF Secured, LLC",BILATERAL,375254518,
CITIGROUP GLOBAL MARKETS INC/SMITH BARNEY,BILATERAL,375027492,
Nyse Euronext - Euronext Paris,BILATERAL,373181739,
OMX Nordic Exchange Stockholm,BILATERAL,371247782,
"Nomura Asset Management U.S.A., Inc.",BILATERAL,358224862,
ANZ Banking Group LTD.,BILATERAL,353299457,
Barclay Investments LLC,BILATERAL,330000000,
Macquarie Equities Limited,BILATERAL,327822000,
Bank of America,BILATERAL,319579770,
UBS FINANCIAL SERVICES INC,BILATERAL,317272342,
HONG KONG FUTURES EXCHANGE LTD.,BILATERAL,315291573,
RBC Capital Markets LLC,BILATERAL,313550414,
GOLDMAN SACHS NEW YORK,BILATERAL,311779000,
BNYMELLON/RE HSBC BANK PLC,BILATERAL,308577548,
Bank Of America Merrill Lynch International Limited,BILATERAL,305972886,
Wells Fargo & Company,BILATERAL,299858242,
BNP PARIBAS U.K. HOLDINGS LIMITED,BILATERAL,298862846,
MACQUARIE CAPITAL,BILATERAL,290916255,
Nomura Group Financial Products,BILATERAL,286153568,
NATIONAL STOCK EXCHANGE OF INDIA LIMITED,BILATERAL,284679519,
"NOMURA HOLDINGS, INC.",BILATERAL,276566764,
SKANDINAVISKA ENSKILDA BANKEN AB,BILATERAL,272272550,
BNY Mellon N.A.,BILATERAL,271788039,
Nomura International,BILATERAL,271040056,
NATWEST GROUP PLC,BILATERAL,267739333,
UBS Group AG,BILATERAL,260310504,
European Commodity Clearing,BILATERAL,257161656,
COWEN AND COMPANY LLC,BILATERAL,249209851,
Societe General,BILATERAL,245146332,
SINGAPORE EXCHANGE LIMITED,BILATERAL,242344465,
Goldman Sachs & Co,BILATERAL,242247958,
SG AMERICAS SECURITIES LLC,BILATERAL,236087388,
Morgan Stanley International Limited,BILATERAL,227112762,
RBS SECURITIES,BILATERAL,226232916,
MORGAN STANLEY & CO INC. NEW YORK,BILATERAL,225418344,
FUJI SECURITIES INC,BILATERAL,224979668,
BNP PARIBAS SECURITIES CORP/BOND,BILATERAL,222008773,
NSE IFSC LIMITED,BILATERAL,215998512,
"CBOE FUTURES EXCHANGE, LLC",BILATERAL,212930387,
Deutsche Bank,BILATERAL,209598964,
WELLS FARGO SECURITIES,BILATERAL,209109543,
JP MORGAN SECURITIES LIMITED,BILATERAL,207868331,
J.P. Morgan AG,BILATERAL,199792207,
Italian Derivatives Market,BILATERAL,198301816,
Citigroup Global Markets Europe AG,BILATERAL,193889246,
Thailand Futures Exchange,BILATERAL,189034331,
"MERRILL LYNCH CAPITAL SERVICES , INC.",BILATERAL,187829000,
"Morgan Stanley Capital Services, LLC",BILATERAL,183000000,
BANK OF MONTREAL QUE,BILATERAL,182032153,
Morgan Stanley Bank AG,BILATERAL,180542739,
Clear Street LLC,BILATERAL,180159245,
Deutsche Bank Trust Corporation,BILATERAL,180000000,
Cboe Futures Exchange,BILATERAL,176176252,
EURONEXT PARIS SA,BILATERAL,176087663,
"B3 S.A. - Brasil, Bolsa, Balcao",CCP,170900529,B3 S.A
UBS ASSET MANAGEMENT (US) INC.,BILATERAL,170606102,
UBS SECURITIES AUSTRALIA LTD,BILATERAL,169738768,
"NORTHERN TRUST COMPANY, THE",BILATERAL,166303402,
"WELLS FARGO SECURITIES, LLC",BILATERAL,164273243,
BANK OF AMERICA MORTGAGE SECURITIES INC,BILATERAL,160528642,
"CLEAR STREET, LLC",BILATERAL,145331581,
"Morgan Stanley Capital Group, Inc.",BILATERAL,143734310,
Morgan Stanley India Company Pvt. Ltd.,BILATERAL,143263000,
NOMURA ASSET ACCEPTANCE CORP,BILATERAL,143235338,
JP MORGAN INTERNATIONAL BANK LTD,BILATERAL,141853611,
Tullett Prebon,BILATERAL,141588447,
National Bank of Canada,BILATERAL,137291626,
"Cantor Fitzgerald, L.P.",BILATERAL,134736950,
WEDBUSH SECURITIES INC,BILATERAL,132853082,
BMO CAPITAL MARKETS,BILATERAL,132775072,
GOLDMAN SACHS AND CO. LLC,BILATERAL,131877501,
Scotia Capital (USA) Inc.,BILATERAL,131220612,
Hongkong and Shanghai Banking Corporation Ltd,BILATERAL,131123307,
BANK OF AMERICA MERRILL LYNCH INTERNATIONAL LIMITED,BILATERAL,130979595,
INTERACTIVE BROKERS L.L.C.,BILATERAL,130069500,
CREDIT SUISSE LONDON BRANCH (GFX),BILATERAL,129886919,
TULLETT PREBON FINANCIAL SERVICES LLC,BILATERAL,129385014,
